group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_trend_score,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,weinstein_stage_score,weinstein_close_vs_ma30_pct,daily_entry_score,quantitative_score,long_score,short_score,extension_risk,room_score,forward_opportunity_score,opportunity_rank_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,lt_ma50_slope_pct
missed,20260617,603527,众源新材,-8.39,-3.16,51.9,7.9,1.29,12.021,27.107,10.358,19.511,100.0,21.942,4.367,100.0,25.853,82.0,,78.28,79.75,10.0,90.0,82.6,81.11,15.1,26.54,-1.15,2.49
missed,20260623,601958,金钼股份,-1.4,2.21,60.4,11.9,1.8,32.239,53.933,32.284,43.995,100.0,28.007,6.281,100.0,39.308,82.0,,78.85,77.75,10.0,90.0,81.59,81.11,25.7,52.5,-8.88,4.67
missed,20260623,688163,赛伦生物,-1.31,10.63,70.6,11.7,1.59,16.102,96.04,16.147,86.103,100.0,35.034,13.218,100.0,50.398,82.0,,78.85,77.75,10.0,90.0,81.59,81.11,17.51,63.14,-6.64,4.89
missed,20260623,301366,一博科技,17.18,14.98,58.8,7.6,1.2,12.023,69.598,12.068,59.66,100.0,33.267,6.886,100.0,36.89,82.0,,78.34,79.75,10.0,90.0,82.61,81.11,22.95,37.66,-10.03,5.75
missed,20260617,603335,迪生力,7.0,7.95,64.1,14.0,1.62,17.917,42.45,16.253,34.854,100.0,27.784,6.194,100.0,33.26,82.0,,78.67,77.75,10.0,90.0,81.56,81.09,20.45,38.12,-4.18,3.36
missed,20260626,002876,三利谱,1.01,-6.01,55.1,7.5,1.26,16.308,35.808,17.244,27.687,100.0,17.779,4.802,100.0,23.971,82.0,,78.07,79.75,10.0,90.0,82.57,81.08,11.36,28.19,-3.52,2.01
missed,20260618,002051,中工国际,9.03,3.31,57.9,6.7,1.42,14.313,47.509,10.999,39.307,100.0,22.041,5.41,100.0,26.824,82.0,,78.07,79.75,10.0,90.0,82.57,81.08,9.56,31.44,-4.11,2.5
missed,20260623,600459,贵研铂业,10.5,13.52,58.7,7.6,1.21,23.769,40.195,23.813,30.258,100.0,19.406,2.879,100.0,23.273,82.0,,78.07,79.75,10.0,90.0,82.57,81.08,18.09,32.2,-8.68,3.52
missed,20260624,603991,领先股份,-0.53,20.36,63.7,11.6,1.66,14.433,23.618,14.531,14.68,100.0,18.524,7.679,100.0,30.851,82.0,,78.49,77.75,10.0,90.0,81.54,81.07,10.35,46.62,-6.06,2.31
missed,20260623,600259,中稀有色,-6.76,-4.81,69.1,12.9,1.63,22.832,40.421,22.877,30.484,100.0,16.49,6.553,100.0,30.601,82.0,,78.49,77.75,10.0,90.0,81.54,81.07,12.3,44.5,-10.0,2.98
missed,20260629,600962,国投中鲁,-2.3,-13.79,69.7,14.4,1.85,15.25,51.225,14.539,41.541,100.0,26.421,3.688,100.0,27.613,82.0,,78.55,77.75,10.0,90.0,81.55,81.07,20.2,32.2,0.0,3.25
missed,20260624,600500,中化国际,2.82,1.92,66.5,13.3,1.8,35.813,78.005,35.911,69.067,100.0,47.501,14.096,100.0,60.052,82.0,,78.52,77.75,10.0,90.0,81.54,81.07,36.27,68.8,-14.67,7.84
missed,20260623,605198,安德利,-11.36,-12.32,65.3,13.9,2.07,29.962,93.612,30.007,83.675,100.0,47.268,11.783,100.0,57.595,82.0,,78.52,77.75,10.0,90.0,81.54,81.07,31.56,60.37,-16.28,7.94
missed,20260625,300480,光力科技,10.77,11.34,59.0,8.4,1.31,12.858,41.303,10.578,29.185,100.0,15.946,10.164,100.0,36.213,82.0,,77.89,79.75,10.0,90.0,82.55,81.06,6.0,55.92,-10.08,1.89
missed,20260626,002805,丰元股份,7.51,-0.89,68.7,13.0,1.56,23.65,45.534,24.586,37.413,100.0,32.393,7.447,100.0,38.137,82.0,,78.34,77.75,10.0,90.0,81.51,81.05,18.68,48.12,-10.9,5.55
missed,20260622,603733,仙鹤股份,2.39,0.27,61.2,4.9,1.38,30.842,20.348,26.414,5.825,100.0,14.221,2.726,100.0,14.2,82.0,,77.44,79.0,0.0,100.0,85.07,81.05,15.82,15.06,-7.63,2.57
missed,20260625,002106,莱宝高科,24.34,15.33,59.1,7.9,1.33,16.68,32.463,14.4,20.345,100.0,21.92,3.57,100.0,24.129,82.0,,77.8,79.75,10.0,90.0,82.53,81.05,20.56,24.01,-6.27,3.51
missed,20260625,603976,正川股份,7.75,5.35,64.9,10.2,1.56,24.734,45.288,22.454,33.17,100.0,25.564,5.39,100.0,28.933,82.0,,78.16,77.75,10.0,90.0,81.49,81.03,20.46,31.14,-7.54,3.61
missed,20260618,603155,新亚强,-0.39,10.88,67.6,11.2,1.82,17.391,46.767,14.078,38.565,100.0,27.064,3.45,100.0,28.193,82.0,,78.07,77.75,10.0,90.0,81.47,81.02,23.0,31.52,-8.31,4.36
missed,20260629,601066,中信建投,-2.44,-1.44,71.2,12.2,1.89,20.787,36.2,20.076,26.516,100.0,24.467,2.583,100.0,21.097,82.0,,77.92,77.75,10.0,90.0,81.45,81.0,22.81,18.96,-2.61,3.2
missed,20260625,001223,欧克科技,3.85,-15.83,56.7,9.5,1.34,17.073,48.923,14.792,36.805,100.0,20.763,3.263,100.0,24.853,82.0,,77.44,79.75,10.0,90.0,82.48,81.0,14.81,28.74,-3.85,2.78
